sum_pe	sz_1	sz_1.5	sz_2	sz_3	sz_4	sz_5	sz_6	sz_8	sz_10	sz_12	sz_14	sz_16
0.00000	1.00000	1.50000	2.00000	3.00000	4.00000	5.00000	6.00000	8.00000	10.00000	12.00000	14.00000	16.00000
0.10000	0.90000	1.40000	1.90000	2.90000	3.90000	4.90000	5.90000	7.90000	9.90000	11.90000	13.90000	15.90000
0.20000	0.80000	1.30000	1.80000	2.80000	3.80000	4.80000	5.80000	7.80000	9.80000	11.80000	13.80000	15.80000
0.30000	0.72000	1.21000	1.70000	2.70000	3.70000	4.70000	5.70000	7.70000	9.70000	11.70000	13.70000	15.70000
0.40000	0.64000	1.13000	1.61000	2.61000	3.61000	4.61000	5.61000	7.61000	9.61000	11.61000	13.60000	15.60000
0.50000	0.57000	1.05000	1.53000	2.53000	3.52000	4.52000	5.51000	7.51000	9.51000	11.51000	13.51000	15.51000
0.60000	0.51000	0.97000	1.45000	2.44000	3.43000	4.42000	5.42000	7.42000	9.42000	11.41000	13.41000	15.41000
0.70000	0.46000	0.90000	1.37000	2.36000	3.34000	4.33000	5.33000	7.33000	9.32000	11.32000	13.32000	15.31000
0.80000	0.41000	0.84000	1.30000	2.28000	3.26000	4.25000	5.24000	7.24000	9.23000	11.22000	13.22000	15.22000
0.90000	0.36000	0.78000	1.23000	2.20000	3.18000	4.16000	5.15000	7.15000	9.14000	11.13000	13.13000	15.12000
1.00000	0.32000	0.73000	1.17000	2.12000	3.10000	4.08000	5.07000	7.06000	9.05000	11.04000	13.03000	15.03000
1.10000	0.29000	0.68000	1.11000	2.05000	3.02000	3.99000	4.98000	6.97000	8.96000	10.95000	12.94000	14.94000
1.20000	0.26000	0.63000	1.05000	1.98000	2.94000	3.91000	4.90000	6.88000	8.88000	10.86000	12.85000	14.84000
1.30000	0.23000	0.59000	0.99000	1.92000	2.86000	3.83000	4.81000	6.80000	8.80000	10.77000	12.76000	14.75000
1.40000	0.21000	0.55000	0.94000	1.86000	2.79000	3.76000	4.73000	6.71000	8.72000	10.68000	12.66000	14.66000
1.50000	0.19000	0.51000	0.89000	1.79000	2.72000	3.68000	4.65000	6.63000	8.65000	10.59000	12.58000	14.57000
1.60000	0.17000	0.48000	0.85000	1.73000	2.65000	3.61000	4.58000	6.55000	8.56000	10.50000	12.48000	14.48000
1.70000	0.15000	0.45000	0.80000	1.67000	2.58000	3.53000	4.50000	6.46000	8.48000	10.41000	12.40000	14.38000
1.80000	0.14000	0.42000	0.76000	1.62000	2.51000	3.46000	4.42000	6.38000	8.39000	10.33000	12.31000	14.30000
1.90000	0.12000	0.39000	0.72000	1.56000	2.45000	3.39000	4.35000	6.30000	8.31000	10.24000	12.22000	14.21000
2.00000	0.11000	0.36000	0.69000	1.50000	2.39000	3.32000	4.28000	6.23000	8.22000	10.15000	12.13000	14.12000
2.10000	0.09000	0.33000	0.65000	1.45000	2.33000	3.26000	4.21000	6.15000	8.14000	10.07000	12.05000	14.03000
2.20000	0.09000	0.31000	0.62000	1.40000	2.27000	3.19000	4.14000	6.07000	8.06000	9.99000	11.96000	13.94000
2.30000	0.08000	0.29000	0.59000	1.36000	2.21000	3.13000	4.07000	6.00000	7.99000	9.90000	11.88000	13.85000
2.40000	0.07000	0.27000	0.56000	1.31000	2.15000	3.06000	4.00000	5.92000	7.91000	9.82000	11.79000	13.77000
2.50000	0.06000	0.25000	0.53000	1.27000	2.10000	3.01000	3.93000	5.85000	7.83000	9.74000	11.71000	13.68000
2.60000	0.06000	0.23000	0.50000	1.22000	2.05000	2.94000	3.86000	5.77000	7.75000	9.66000	11.62000	13.60000
2.70000	0.05000	0.21000	0.47000	1.18000	2.00000	2.88000	3.80000	5.70000	7.67000	9.58000	11.54000	13.51000
2.80000	0.05000	0.20000	0.45000	1.14000	1.95000	2.82000	3.74000	5.63000	7.60000	9.50000	11.46000	13.43000
2.90000	0.04000	0.18000	0.42000	1.10000	1.90000	2.77000	3.68000	5.56000	7.52000	9.42000	11.38000	13.34000
3.00000	0.04000	0.17000	0.40000	1.06000	1.85000	2.71000	3.62000	5.49000	7.45000	9.34000	11.30000	13.26000
3.10000	0.03000	0.16000	0.38000	1.03000	1.80000	2.65000	3.55000	5.42000	7.37000	9.26000	11.22000	13.18000
3.20000	0.03000	0.15000	0.36000	0.99000	1.76000	2.60000	3.49000	5.36000	7.30000	9.19000	11.14000	13.10000
3.30000	0.02000	0.14000	0.34000	0.96000	1.71000	2.55000	3.43000	5.29000	7.23000	9.11000	11.06000	13.01000
3.40000	0.02000	0.13000	0.32000	0.93000	1.67000	2.50000	3.37000	5.22000	7.15000	9.03000	10.98000	12.93000
3.50000	0.01000	0.12000	0.30000	0.90000	1.63000	2.45000	3.31000	5.16000	7.08000	8.96000	10.90000	12.85000
3.60000	0.01000	0.11000	0.29000	0.87000	1.59000	2.40000	3.26000	5.09000	7.01000	8.88000	10.82000	12.77000
3.70000	0.01000	0.11000	0.27000	0.84000	1.55000	2.35000	3.20000	5.03000	6.94000	8.81000	10.74000	12.69000
3.80000	NA	0.10000	0.26000	0.81000	1.51000	2.30000	3.15000	4.97000	6.87000	8.74000	10.67000	12.61000
3.90000	NA	0.09000	0.25000	0.78000	1.47000	2.25000	3.10000	4.91000	6.80000	8.66000	10.59000	12.53000
4.00000	NA	0.08000	0.24000	0.75000	1.43000	2.21000	3.05000	4.84000	6.74000	8.59000	10.52000	12.46000
4.10000	NA	0.08000	0.23000	0.73000	1.39000	2.16000	3.00000	4.78000	6.67000	8.52000	10.44000	12.38000
4.20000	NA	0.07000	0.22000	0.70000	1.36000	2.12000	2.95000	4.72000	6.60000	8.45000	10.37000	12.30000
4.30000	NA	0.07000	0.21000	0.68000	1.32000	2.08000	2.90000	4.67000	6.54000	8.38000	10.29000	12.22000
4.40000	NA	0.06000	0.20000	0.66000	1.29000	2.04000	2.85000	4.61000	6.47000	8.31000	10.22000	12.15000
4.50000	NA	NA	0.19000	0.63000	1.26000	2.00000	2.80000	4.55000	6.41000	8.24000	10.15000	12.07000
4.60000	NA	NA	0.18000	0.61000	1.23000	1.96000	2.75000	4.49000	6.34000	8.17000	10.07000	12.00000
4.70000	NA	NA	0.17000	0.59000	1.20000	1.92000	2.70000	4.44000	6.28000	8.10000	10.00000	11.92000
4.80000	NA	NA	0.16000	0.57000	1.17000	1.88000	2.66000	4.38000	6.22000	8.04000	9.93000	11.85000
4.90000	NA	NA	0.15000	0.55000	1.14000	1.84000	2.61000	4.33000	6.15000	7.97000	9.86000	11.77000
5.00000	NA	NA	0.14000	0.53000	1.11000	1.81000	2.57000	4.27000	6.09000	7.90000	9.79000	11.70000
5.10000	NA	NA	0.13000	0.51000	1.08000	1.77000	2.53000	4.22000	6.03000	7.84000	9.72000	11.63000
5.20000	NA	NA	0.12000	0.50000	1.05000	1.73000	2.49000	4.17000	5.97000	7.77000	9.65000	11.55000
5.30000	NA	NA	0.12000	0.48000	1.02000	1.70000	2.44000	4.12000	5.91000	7.71000	9.58000	11.48000
5.40000	NA	NA	0.11000	0.46000	1.00000	1.66000	2.40000	4.06000	5.85000	7.64000	9.51000	11.41000
