APWL (mm),sz_25,sz_50,sz_75,sz100,sz_100_calc
0,25,50,75,100,100
1,24,49,74,99,99
2,23,48,73,98,98
3,22,47,72,97,97
4,21,46,71,96,96
5,20,45,70,95,95
6,19,44,69,94,94
7,18,43,68,93,93
8,17,42,67,92,92
9,16,41,66,91,91
10,16,41,65,90,90
11,15,40,64,89,89
12,15,39,63,88,88
13,14,38,62,88,87
14,13,37,61,87,87
15,13,36,60,86,86
16,12,36,59,85,85
17,12,35,58,84,84
18,11,34,58,83,83
19,11,33,57,82,82
20,10,33,57,81,81
21,10,32,56,81,80
22,9,32,55,80,80
23,9,31,54,79,79
24,8,30,53,78,78
25,8,30,53,77,77
26,8,29,52,77,76
27,8,28,51,76,76
28,7,28,51,75,75
29,7,27,50,74,74
30,7,27,50,74,73
31,6,26,49,73,73
32,6,25,48,72,72
33,6,25,47,71,71
34,5,24,46,70,70
35,5,24,46,70,69
36,5,23,45,69,69
37,5,23,45,68,68
38,5,22,44,68,67
39,4,22,44,67,67
40,4,21,43,66,66
41,4,21,43,66,65
42,4,20,42,65,65
43,4,20,41,64,64
44,3,19,40,64,63
45,3,19,40,63,63
46,3,19,39,62,62
47,3,18,39,62,61
48,3,18,38,61,61
49,3,18,38,60,60
50,3,17,38,60,59
51,3,17,37,59,59
52,3,17,36,59,58
53,3,16,36,58,58
54,2,16,35,58,57
55,2,16,35,57,57
56,2,15,35,56,56
57,2,15,34,56,55
58,2,15,34,55,55
59,2,14,33,54,54
60,2,14,33,54,53
61,2,14,33,53,53
62,2,13,32,53,52
63,2,13,31,52,52
64,1,13,31,52,51
65,1,13,31,51,51
66,1,12,30,51,50
67,1,12,30,50,50
68,1,11,29,50,50
69,1,11,29,49,50
70,1,11,28,49,49
71,1,11,28,48,49
72,1,11,28,48,48
73,1,10,27,47,48
74,1,10,27,47,47
75,1,10,27,46,47
76,1,10,26,46,46
77,1,9,26,45,46
78,1,9,25,45,45
79,1,9,25,44,45
80,1,9,25,44,44
81,1,9,24,44,44
82,1,9,24,43,44
83,1,8,23,43,43
84,1,8,23,42,43
85,1,8,23,42,42
86,1,8,23,41,42
87,1,8,22,41,41
88,1,8,22,40,41
89,1,8,22,40,40
90,1,7,22,40,40
91,1,7,21,39,40
92,1,7,21,39,39
93,1,7,21,38,39
94,1,7,20,38,38
95,,7,20,38,38
96,,7,20,37,38
97,,6,20,37,37
98,,6,19,36,37
99,,6,19,36,36
100,,6,19,36,36
101,,6,19,35,36
102,,6,18,35,35
103,,6,18,35,35
104,,6,18,34,35
105,,6,18,34,34
106,,5,17,34,34
107,,5,17,33,34
108,,5,17,33,33
109,,5,17,33,33
110,,5,16,32,33
111,,5,16,32,32
112,,5,16,32,32
113,,5,16,31,32
114,,4,15,31,31
115,,4,15,31,31
116,,4,15,30,31
