#
# Table 2: Monthly values of I corresponding to monthly mean temperatures (degrees C)
#
# This table based on Sellinger, C.E., 1996, Computer program for estimating evapotranspiration using the Thornthwaite method: National Oceanic and Atmospheric
#                     Administration Technical Memorandum ERL GLERL-101, 9p.
#                     accessed at ftp://ftp.glerl.noaa.gov/publications/tech_reports/glerl-101/tm-101.pdf
#
# Original table is in Thornthwaite, C.W. and Mather, J.R., 1957, Instructions and Tables for Computing Potential Evapotranspiration
#                      and the Water Balance: Publications in Climatology, v. 10, no. 3, p. 1–104.
#
Temp_degC   T0             T1           T2           T3           T4           T5           T6           T7           T8            T9
       0     .00           .00          .01          .01          .02          .03          .04          .05          .06          .07
       1     .09           .10          .12          .13          .15          .16          .18          .20          .21          .23
       2     .25           .27          .29          .31          .33          .35          .37          .39          .42          .44
       3     .46           .48          .51          .53          .56          .58          .61          .63          .66          .69
       4     .71           .74          .77          .80          .82          .85          .88          .91          .94          .97
       5    1.00          1.03         1.06         1.09         1.12         1.16         1.19         1.22         1.25         1.29
       6    1.32          1.35         1.39         1.42         1.45         1.49         1.52         1.56         1.59         1.63
       7    1.66          1.70         1.74         1.77         1.81         1.85         1.89         1.92         1.96         2.00
       8    2.04          2.08         2.12         2.15         2.19         2.23         2.27         2.31         2.35         2.39
       9    2.44          2.48         2.52         2.56         2.60         2.64         2.69         2.73         2.77         2.81
      10    2.86          2.90         2.94         2.99         3.03         3.08         3.12         3.16         3.21         3.25
      11    3.30          3.34         3.39         3.44         3.48         3.53         3.58         3.62         3.67         3.72
      12    3.76          3.81         3.86         3.91         3.96         4.00         4.05         4.10         4.15         4.20
      13    4.25          4.30         4.35         4.40         4.45         4.50         4.55         4.60         4.65         4.70
      14    4.75          4.81         4.86         4.91         4.96         5.01         5.07         5.12         5.17         5.22
      15    5.28          5.33         5.38         5.44         5.49         5.55         5.60         5.65         5.71         5.76
      16    5.82          5.87         5.93         5.98         6.04         6.10         6.15         6.21         6.26         6.32
      17    6.38          6.44         6.49         6.55         6.61         6.66         6.72         6.78         6.84         6.90
      18    6.95          7.01         7.07         7.13         7.19         7.25         7.31         7.37         7.43         7.49
      19    7.55          7.61         7.67         7.73         7.79         7.85         7.91         7.97         8.03         8.10
      20    8.16          8.22         8.28         8.34         8.41         8.47         8.53         8.59         8.66         8.72
      21    8.78          8.85         8.91         8.97         9.04         9.10         9.17         9.23         9.29         9.36
      22    9.42          9.49         9.55         9.62         9.68         9.75         9.82         9.88         9.95        10.01
      23   10.08         10.15        10.21        10.28        10.35        10.41        10.48        10.55        10.62        10.68
      24   10.75         10.82        10.89        10.95        11.02        11.09        11.16        11.23        11.30        11.37
      25   11.44         11.50        11.57        11.64        11.71        11.78        11.85        11.92        11.99        12.06
      26   12.13         12.21        12.28        12.35        12.42        12.49        12.56        12.63        12.70        12.78
      27   12.85         12.92        12.99        13.07        13.14        13.21        13.28        13.36        13.43        13.50
      28   13.58         13.65        13.72        13.80        13.87        13.94        14.02        14.09        14.17        14.24
      29   14.32         14.39        14.47        14.64        14.62        14.69        14.77        14.84        14.92        14.99
      30   15.07         15.15        15.22        15.30        15.38        15.45        15.53        15.61        15.68        15.76
      31   15.84         15.92        15.99        16.07        16.15        16.23        16.30        16.38        16.46        16.54
      32   16.62         16.70        16.78        16.85        16.93        17.01        17.09        17.17        17.25        17.33
      33   17.41         17.49        17.57        17.65        17.73        17.81        17.89        17.97        18.05        18.13
      34   18.22         18.30        18.38        18.46        18.54        18.62        18.70        18.79        18.87        18.95
      35   19.03         19.11        19.20        19.28        19.36        19.45        19.53        19.61        19.69        19.78
      36   19.86         19.95        20.03        20.11        20.20        20.28        20.36        20.45        20.53        20.62
      37   20.70         20.79        20.87        20.96        21.04        21.13        21.21        21.30        21.38        21.47
      38   21.56         21.64        21.73        21.61        21.90        21.99        22.07        22.16        22.25        22.33
      39   22.42         22.51        22.59        22.68        22.77        22.86        22.95        23.03        23.12        23.21
