#
# Table 4: Values of unadjusted daily potential evapotranspiration (mm) for different mean temperatures (degrees C) and I values
#
# This table based on Sellinger, C.E., 1996, Computer program for estimating evapotranspiration using the Thornthwaite method: National Oceanic and Atmospheric
#                     Administration Technical Memorandum ERL GLERL-101, 9p.
#                     accessed at ftp://ftp.glerl.noaa.gov/publications/tech_reports/glerl-101/tm-101.pdf
#
# Original table is in Thornthwaite, C.W. and Mather, J.R., 1957, Instructions and Tables for Computing Potential Evapotranspiration
#                      and the Water Balance: Publications in Climatology, v. 10, no. 3, p. 1–104.
#
Temp_degC    I25.00   I27.50   I30.00   I32.50   I35.00   I37.50   I40.00   I42.50   I45.00   I47.50   I50.00   I52.50   I55.00   I57.50   I60.00   I62.50   I65.00   I67.50   I70.00   I72.50   I75.10   I77.50   I80.00   I82.50   I85.00   I87.50   I90.00   I92.50   I95.00   I97.50  I100.00  I102.50  I105.00  I107.50  I110.00  I112.50  I115.00  I117.50  I120.00  I122.50  I125.00  I127.50  I130.00  I132.50  I135.00  I137.50  I140.00
   0.00      0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
   0.25      0.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
   0.50      0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
   0.75      0.20    0.20    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
   1.00      0.20    0.20    0.20    0.20    0.20    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
   1.25      0.30    0.30    0.20    0.20    0.20    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
   1.50      0.30    0.30    0.20    0.20    0.20    0.20    0.20    0.20    0.20    0.10    0.10    0.10    0.10    0.10    0.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
   1.75      0.40    0.40    0.30    0.30    0.30    0.20    0.20    0.20    0.20    0.20    0.20    0.10    0.10    0.10    0.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
   2.00      0.40    0.40    0.30    0.30    0.30    0.20    0.20    0.20    0.20    0.20    0.20    0.20    0.10    0.10    0.10    0.10    0.10    0.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
   2.25      0.50    0.50    0.40    0.30    0.30    0.30    0.30    0.30    0.30    0.20    0.20    0.20    0.20    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
   2.50      0.50    0.50    0.40    0.40    0.40    0.30    0.30    0.30    0.30    0.30    0.30    0.20    0.20    0.20    0.20    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
