Month	Day	Year	TAVG (F)	Precipitation (in)	Avg Rel Hum (%)	TMAX (F)	TMIN (F)	WINDVEL (m/sec)	Min Rel Hum (%)	Sunshine
1	1	2000	35	0.01	82	39	31	2.95	68	-99999
1	2	2000	41.5	0.04	87	52	31	4.2	74	-99999
1	3	2000	28	0.24	87.5	31	25	5.99	79	-99999
1	4	2000	24.5	0.03	72	29	20	4.07	56	-99999
1	5	2000	15.5	0.003	81.5	26	5	5.28	71	-99999
1	6	2000	30.5	0.003	68	36	25	4.16	52	-99999
1	7	2000	17.5	0.003	61	27	8	3.93	47	-99999
1	8	2000	32	0	76.5	40	24	4.02	57	-99999
1	9	2000	35	0.06	87.5	37	33	2.77	78	-99999
1	10	2000	37.5	0.06	81.5	41	34	3.76	67	-99999
1	11	2000	28	0.01	68	35	21	4.11	51	-99999
1	12	2000	20	0.01	75.5	22	18	5.01	62	-99999
1	13	2000	14.5	0.02	74	23	6	3.4	57	-99999
1	14	2000	14	0.02	84.5	24	4	3.49	77	-99999
1	15	2000	30	0	76	37	23	3.04	64	-99999
1	16	2000	24.5	0	57.5	34	15	5.32	43	-99999
1	17	2000	20	0.01	74.5	24	16	5.36	57	-99999
1	18	2000	27	0.003	68	36	18	3.4	44	-99999
1	19	2000	17	0.13	77	22	12	2.41	62	-99999
1	20	2000	6	0.003	67.5	15	-3	3.71	52	-99999
1	21	2000	0.5	0	68.5	8	-7	2.15	50	-99999
1	22	2000	14	0.03	81	21	7	3.84	73	-99999
1	23	2000	8.5	0	70.5	18	-1	3.84	53	-99999
1	24	2000	7	0.003	73.5	18	-4	2.77	59	-99999
1	25	2000	13.5	0.003	62	20	7	4.34	43	-99999
1	26	2000	8	0	73.5	18	-2	2.77	59	-99999
1	27	2000	9	0	75	24	-6	0.27	59	-99999
1	28	2000	12.5	0	74.5	27	-2	0.45	57	-99999
1	29	2000	18.5	0.12	83.5	29	8	3.67	71	-99999
1	30	2000	26	0.12	75.5	30	22	4.83	60	-99999
1	31	2000	21	0.003	71.5	28	14	3.49	63	-99999
2	1	2000	20	0.003	67.5	29	11	3.49	51	-99999
2	2	2000	16.5	0.02	85	29	4	3.49	78	-99999
2	3	2000	25	0.003	82	33	17	3.58	72	-99999
2	4	2000	23.5	0.003	66	31	16	4.38	43	-99999
2	5	2000	23.5	0	67	34	13	2.59	46	-99999
2	6	2000	21.5	0.01	82.5	32	11	1.79	69	-99999
2	7	2000	19.5	0	78.5	30	9	2.37	61	-99999
2	8	2000	18.5	0	84.5	33	4	4.16	77	-99999
2	9	2000	32.5	0	78	40	25	3.26	67	-99999
2	10	2000	28	0.003	85	33	23	6.04	78	-99999
2	11	2000	15	0.003	58.5	24	6	2.95	36	-99999
2	12	2000	16	0.04	74.5	29	3	2.28	53	-99999
2	13	2000	23.5	0.38	87	27	20	6.44	78	-99999
