NUM_LANDUSE_TYPES	41
#	MAX	FIRST STAGE						Management
#	CROP	CROP		GDD	GDD	GDD	GDD	Allowable
# LU	COEFFICIENT	COEFFICIENT	Alpha1	MAX Kc	MATURE	Base Temp	Max Temp	Deficit (%)
#100
101	0.9	0.2	0.65	1400	2000	50	140	100
104	0.9	0.2	0.65	1400	2000	50	140	100
105	0.9	0.2	0.65	1400	2000	50	140	100
110	1.4	0.2	0.65	1400	2000	50	140	40
111	1.4	0.2	0.65	1400	2000	50	140	30
112	1.4	0.2	0.65	1400	2000	50	140	40
113	1.4	0.2	0.65	1200	1800	50	140	40
118	1.4	0.2	0.65	1400	2000	50	140	40
124	1.4	0.2	0.65	1400	2000	50	140	40
148	1.4	0.2	0.65	1400	2000	50	140	30
150	1	0.2	0.65	1400	2000	50	140	100
160	1	0.2	0.65	1400	2000	50	140	100
161	1	0.2	0.65	1400	2000	50	140	100
162	1	0.2	0.65	1400	2000	50	140	100
163	1	0.2	0.65	1400	2000	50	140	100
166	1	0.2	0.65	1400	2000	50	140	100
173	1	0.2	0.65	1400	2000	50	140	100
175	1	0.2	0.65	1400	2000	50	140	100
176	1	0.2	0.65	1400	2000	50	140	100
177	1	0.2	0.65	1400	2000	50	140	100
179	1	0.2	0.65	1400	2000	50	140	100
180	1	0.2	0.65	1400	2000	50	140	100
183	1	0.2	0.65	1400	2000	50	140	100
185	1	0.2	0.65	1400	2000	50	140	100
187	1	0.2	0.65	1400	2000	50	140	100
190	1	0.2	0.65	1400	2000	50	140	100
200	1	0.2	0.65	1400	2000	50	140	100
210	1	0.2	0.65	1400	2000	50	140	100
211	1	0.2	0.65	1400	2000	50	140	100
212	1	0.2	0.65	1400	2000	50	140	100
217	1	0.2	0.65	1400	2000	50	140	100
218	1	0.2	0.65	1400	2000	50	140	100
219	1	0.2	0.65	1400	2000	50	140	100
220	1	0.2	0.65	1400	2000	50	140	100
222	1	0.2	0.65	1400	2000	50	140	100
223	1	0.2	0.65	1400	2000	50	140	100
229	1	0.2	0.65	1400	2000	50	140	100
234	1	0.2	0.65	1400	2000	50	140	100
240	1	0.2	0.65	1400	2000	50	140	100
250	1	0.2	0.65	1400	2000	50	140	100
255	1	0.2	0.65	1400	2000	50	140	100
