Month	Day	Year	TAVG (F)	Precipitation (in)	Avg Rel Hum (%)	TMAX (F)	TMIN (F)	WINDVEL (m/sec)	Min Rel Hum (%)	Sunshine
1	1	1989	24.5	0	89	30	19	4.92	78	0
1	2	1989	15	0	69.5	22	8	4.34	59	100
1	3	1989	21	0.003	78	29	13	6.17	60	4
1	4	1989	13	0	76.5	22	4	4.56	65	93
1	5	1989	23	0.16	89	31	15	3.13	82	0
1	6	1989	31	0.07	89	33	29	4.6	82	0
1	7	1989	26	0.04	85	38	14	6.17	70	0
1	8	1989	7.5	0.003	66.5	14	1	9.12	57	68
1	9	1989	12.5	0	69.5	26	-1	6.04	64	74
1	10	1989	21	0	70	28	14	4.69	55	84
1	11	1989	26	0.14	83	38	14	7.06	70	27
1	12	1989	28	0	74.5	37	19	6.57	57	94
1	13	1989	21	0	67	30	12	4.16	46	100
1	14	1989	25.5	0	75.5	32	19	6.21	66	49
1	15	1989	32	0	67.5	37	27	5.41	50	92
1	16	1989	27.5	0	65	37	18	5.68	52	79
1	17	1989	31.5	0	69.5	38	25	4.34	57	30
1	18	1989	32	0	77	38	26	5.45	72	37
1	19	1989	33	0.003	74	43	23	6.57	60	74
1	20	1989	24.5	0.003	65.5	32	17	5.77	47	80
1	21	1989	26	0	70	35	17	6.75	59	95
1	22	1989	34	0	66.5	42	26	5.59	55	91
1	23	1989	37.5	0	65.5	46	29	3	49	67
1	24	1989	33.5	0.003	87.5	35	32	6.8	79	0
1	25	1989	34	0.11	89.5	35	33	4.07	79	0
1	26	1989	29	0	71.5	34	24	5.86	54	67
1	27	1989	33.5	0	67.5	43	24	4.6	53	100
1	28	1989	36.5	0	78.5	42	31	3.84	65	0
1	29	1989	33	0.09	92.5	38	28	3.31	89	0
1	30	1989	39.5	0	76	46	33	5.01	63	79
1	31	1989	43.5	0	79.5	56	31	5.5	59	58
2	1	1989	27.5	0.003	76.5	35	20	6.97	57	0
2	2	1989	16.5	0.05	77.5	20	13	6.93	71	0
2	3	1989	3.5	0.02	67.5	13	-6	7.55	51	57
2	4	1989	-4	0.01	65.5	0	-8	4.69	56	12
2	5	1989	-1	0.12	71	7	-9	3.26	59	37
2	6	1989	2.5	0.003	73	9	-4	4.56	63	74
2	7	1989	10	0.003	76	21	-1	5.81	65	100
2	8	1989	11	0.003	60	21	1	8.05	46	93
2	9	1989	9.5	0.003	67.5	22	-3	6.84	51	73
2	10	1989	15.5	0	69	28	3	5.95	55	62
2	11	1989	25	0	64	34	16	5.77	50	100
2	12	1989	25	0	64.5	35	15	4.6	48	91
2	13	1989	30	0.26	78.5	35	25	4.34	61	3
2	14	1989	16.5	0	58	30	3	2.19	36	49
2	15	1989	21.5	0	60	33	10	3.26	36	49
2	16	1989	10.5	0	54.5	22	-1	2.55	33	100
2	17	1989	10	0.003	72.5	19	1	2.37	62	76
2	18	1989	12	0.05	81.5	22	2	2.41	71	1
2	19	1989	20	0.01	76	27	13	3.8	60	56
2	20	1989	16	0	68.5	23	9	2.73	50	65
2	21	1989	20.5	0	68	30	11	5.36	56	73
2	22	1989	10	0.003	59.5	19	1	5.86	45	81
2	23	1989	7	0	52.5	23	-9	2.15	23	100
2	24	1989	11	0.003	64.5	22	0	6.39	52	45
2	25	1989	25.5	0	76.5	41	10	4.11	65	50
2	26	1989	24	0.01	70	35	13	7.47	58	75
2	27	1989	15.5	0.01	67	24	7	3.58	50	90
2	28	1989	18.5	0.03	68	25	12	7.6	48	76
3	1	1989	14	0	54	20	8	5.14	41	90
3	2	1989	9	0.14	78.5	13	5	4.96	73	0
3	3	1989	22	0.62	86	32	12	7.91	80	0
3	4	1989	25.5	0.16	88.5	32	19	5.32	81	0
3	5	1989	14.5	0.003	71.5	20	9	7.06	62	68
3	6	1989	17.5	0	69	25	10	7.02	61	90
3	7	1989	13.5	0.003	73.5	25	2	3.8	60	88
3	8	1989	18	0	73	32	4	3.44	59	38
3	9	1989	26	0	77	39	13	2.59	62	62
3	10	1989	38	0	73.5	45	31	4.07	58	84
3	11	1989	38.5	0	79	49	28	3.67	58	78
3	12	1989	32	0.003	79.5	35	29	5.14	70	60
3	13	1989	37	0.003	81.5	43	31	2.86	71	7
3	14	1989	38	0.11	92.5	42	34	4.02	89	0
3	15	1989	29	0.04	73.5	36	22	6.53	51	58
3	16	1989	30	0.003	61.5	39	21	5.14	45	0
3	17	1989	20	0.42	72.5	25	15	7.55	53	0
3	18	1989	16.5	0.003	61	25	8	4.83	38	86
3	19	1989	18	0.02	73.5	33	3	3.58	51	65
3	20	1989	27	0.03	74	34	20	5.41	52	9
3	21	1989	20.5	0	59	33	8	2.91	38	100
3	22	1989	25	0	68.5	41	9	4.16	49	97
3	23	1989	40.5	0	65.5	51	30	4.96	46	92
3	24	1989	45	0.003	69.5	60	30	3.84	50	59
3	25	1989	40.5	0	83.5	49	32	4.16	71	82
3	26	1989	52	0	74	72	32	4.6	59	85
